brier_score_delta,competition,fold,log_loss_delta,match_date,match_id,model_a,model_b,pair,ranked_probability_score_delta
-0.14376839620220305,FIFA World Cup,world_cup_2018,-0.2716439448654806,2018-06-24,international_results_csv-a2fc1a4244d90c0c330f,poisson,elo,poisson_minus_elo,-0.020953638542448694
0.17004678076841354,UEFA Euro,euro_2024,0.2689545370523521,2024-06-15,international_results_csv-a32e3412f868dc2973fe,poisson,elo,poisson_minus_elo,0.06055235077795548
-0.07128555756766164,Copa América,copa_america_2024,-0.07815458392607355,2024-06-26,international_results_csv-a34dd70bd3878672430b,poisson,elo,poisson_minus_elo,-0.04820855903792487
-0.029008677957585882,FIFA World Cup,world_cup_2022,-0.044290063630818,2022-12-04,international_results_csv-a4541c399fbb00659c3b,poisson,elo,poisson_minus_elo,-0.02626322182996574
0.24664051245558127,FIFA World Cup,world_cup_2018,0.3945971252306164,2018-06-25,international_results_csv-a4ad52584a6b0ca1e9ef,poisson,elo,poisson_minus_elo,0.10983336031547758
-0.008343139919747888,FIFA World Cup,world_cup_2018,0.004662342300890798,2018-06-28,international_results_csv-a5522d7c007e5f722a3a,poisson,elo,poisson_minus_elo,-0.02759874746477628
-0.023778830776712945,FIFA World Cup,world_cup_2018,0.0017766532778802357,2018-07-03,international_results_csv-a70c2997fd3870579b26,poisson,elo,poisson_minus_elo,-0.034540491992234246
0.0681838270156776,FIFA World Cup,world_cup_2018,0.113570269929118,2018-06-28,international_results_csv-a8e86526d67c35f1355f,poisson,elo,poisson_minus_elo,0.019073670937220844
-0.005010891511926685,Copa América,copa_america_2024,0.0034374287315191987,2024-07-10,international_results_csv-a90e8651082210abd4ae,poisson,elo,poisson_minus_elo,-0.016262548330273907
-0.4184907214594996,FIFA World Cup,world_cup_2018,-0.6750149743419198,2018-06-25,international_results_csv-aa701ce5d92317f620df,poisson,elo,poisson_minus_elo,-0.10791415633492085
-0.07172352122776363,FIFA World Cup,world_cup_2018,-0.10073826350846693,2018-06-16,international_results_csv-ad7447caa6303f5f6c01,poisson,elo,poisson_minus_elo,-0.03867531529080723
0.010433010353042754,FIFA World Cup,world_cup_2022,0.012735289489795132,2022-11-30,international_results_csv-aed43639a932a8d679d9,poisson,elo,poisson_minus_elo,-0.0020191816319713035
0.011890380623183844,FIFA World Cup,world_cup_2018,0.015931126393580075,2018-06-22,international_results_csv-b0081ac08a471b778e35,poisson,elo,poisson_minus_elo,0.00038647248860847194
-0.053000316068212205,Copa América,copa_america_2024,-0.08476442293352893,2024-06-29,international_results_csv-b05d7666237e5f555fa9,poisson,elo,poisson_minus_elo,-0.01064725356296925
0.07444023220961926,FIFA World Cup,world_cup_2018,0.12043181062094599,2018-06-19,international_results_csv-b19e93760c27e10672da,poisson,elo,poisson_minus_elo,0.020059880693083953
0.01551499092164832,Copa América,copa_america_2024,0.05477390053583653,2024-06-27,international_results_csv-b24f74e0627f4f161344,poisson,elo,poisson_minus_elo,0.006789294141131719
0.04142651830431021,FIFA World Cup,world_cup_2022,0.08517080447981396,2022-12-10,international_results_csv-b35074520e7ee28c8baf,poisson,elo,poisson_minus_elo,0.0021328257599042555
