bin,bin_lower,bin_upper,class,fold,matches,mean_predicted_probability,observed_frequency
5,0.4,0.5,home_win,world_cup_2018,4,0.4524957196916065,0.5
6,0.5,0.6000000000000001,home_win,world_cup_2018,11,0.5525331792194474,0.6363636363636364
7,0.6000000000000001,0.7000000000000001,home_win,world_cup_2018,10,0.6559770322063714,0.6
8,0.7000000000000001,0.8,home_win,world_cup_2018,5,0.7220922152722442,0.4
9,0.8,0.9,home_win,world_cup_2018,1,0.800915537008353,1.0
2,0.1,0.2,draw,world_cup_2018,30,0.1696002907842038,0.16666666666666666
3,0.2,0.30000000000000004,draw,world_cup_2018,30,0.21442477350624556,0.13333333333333333
1,0.0,0.1,away_win,world_cup_2018,1,0.08925992031636436,0.0
2,0.1,0.2,away_win,world_cup_2018,15,0.16045409206476444,0.2
3,0.2,0.30000000000000004,away_win,world_cup_2018,12,0.24792446847340152,0.4166666666666667
4,0.30000000000000004,0.4,away_win,world_cup_2018,6,0.36881425194375245,0.16666666666666666
5,0.4,0.5,away_win,world_cup_2018,16,0.4398295959334683,0.5625
6,0.5,0.6000000000000001,away_win,world_cup_2018,5,0.5347699398431128,1.0
7,0.6000000000000001,0.7000000000000001,away_win,world_cup_2018,4,0.6332935127951124,0.5
8,0.7000000000000001,0.8,away_win,world_cup_2018,1,0.7946528461280671,1.0
1,0.0,0.1,home_win,world_cup_2022,1,0.05468402120900917,1.0
2,0.1,0.2,home_win,world_cup_2022,6,0.16069858295505665,0.16666666666666666
3,0.2,0.30000000000000004,home_win,world_cup_2022,6,0.2554312020675596,0.3333333333333333
4,0.30000000000000004,0.4,home_win,world_cup_2022,9,0.3490579015871491,0.3333333333333333
5,0.4,0.5,home_win,world_cup_2022,11,0.4505342932570002,0.5454545454545454
6,0.5,0.6000000000000001,home_win,world_cup_2022,11,0.5504029345924976,0.45454545454545453
7,0.6000000000000001,0.7000000000000001,home_win,world_cup_2022,8,0.6328671182562946,0.625
8,0.7000000000000001,0.8,home_win,world_cup_2022,6,0.7404964266170017,0.8333333333333334
9,0.8,0.9,home_win,world_cup_2022,1,0.8619138837971156,0.0
1,0.0,0.1,draw,world_cup_2022,2,0.0678508422936985,0.0
2,0.1,0.2,draw,world_cup_2022,33,0.16662756747395724,0.18181818181818182
3,0.2,0.30000000000000004,draw,world_cup_2022,24,0.20808688898106564,0.16666666666666666
1,0.0,0.1,away_win,world_cup_2022,1,0.06001786451599811,1.0
2,0.1,0.2,away_win,world_cup_2022,9,0.14039584944434055,0.1111111111111111
3,0.2,0.30000000000000004,away_win,world_cup_2022,17,0.24276726089813336,0.29411764705882354
4,0.30000000000000004,0.4,away_win,world_cup_2022,10,0.343491445205883,0.2
5,0.4,0.5,away_win,world_cup_2022,9,0.44440659703281116,0.4444444444444444
6,0.5,0.6000000000000001,away_win,world_cup_2022,5,0.5500671209406901,0.6
7,0.6000000000000001,0.7000000000000001,away_win,world_cup_2022,5,0.6519600559372994,0.8
8,0.7000000000000001,0.8,away_win,world_cup_2022,2,0.7586821556427736,0.5
9,0.8,0.9,away_win,world_cup_2022,1,0.88768254589048,0.0
