accuracy,brier_score,calibration_error,competition_weight_profile,fold,home_advantage,inactivity_regression,k_base,log_loss,margin_of_victory,matches,method,ranked_probability_score
0.6785714285714286,0.45072623401590883,0.1458070288243981,compressed,copa_america_2024,50.0,two_years_10pct,15.0,0.7884529471285999,off,28,ordinal_logistic,0.15695877816235673
0.5833333333333334,0.5813388414379117,0.08717452429522017,compressed,world_cup_2018,50.0,two_years_10pct,15.0,0.9720281952268017,off,60,multinomial_logistic,0.22400656942235467
0.5423728813559322,0.5909519703781378,0.08207107054762404,compressed,world_cup_2022,50.0,two_years_10pct,15.0,1.018044540782559,off,59,multinomial_logistic,0.22596669311436793
0.5625,0.6169616415988873,0.14716211519651115,compressed,euro_2024,50.0,two_years_10pct,15.0,1.0420517935793787,off,48,multinomial_logistic,0.20151520581277862
0.6785714285714286,0.453196999253747,0.1420720503418154,compressed,copa_america_2024,50.0,two_years_10pct,15.0,0.7935076178605022,off,28,multinomial_logistic,0.15704028203191497
0.6,0.5753048468508546,0.09838031744678837,compressed,world_cup_2018,50.0,off,15.0,0.9632398249235146,modest,60,elo_simple,0.22087646663854577
0.576271186440678,0.5923028905837322,0.07852841142287442,compressed,world_cup_2022,50.0,off,15.0,1.0092579839387423,modest,59,elo_simple,0.22418520875419073
0.5625,0.604191057658411,0.1125251854878326,compressed,euro_2024,50.0,off,15.0,1.0176823198686977,modest,48,elo_simple,0.19657423789018078
0.7142857142857143,0.47857445669895066,0.1429815049982522,compressed,copa_america_2024,50.0,off,15.0,0.8346058965738296,modest,28,elo_simple,0.16487182524256913
0.5833333333333334,0.5766233254978261,0.08510240471929824,compressed,world_cup_2018,50.0,off,15.0,0.9667748263847606,modest,60,ordinal_logistic,0.22147087011434474
0.559322033898305,0.5928669323137518,0.07312548604675549,compressed,world_cup_2022,50.0,off,15.0,1.0056024847620237,modest,59,ordinal_logistic,0.22744230102780005
0.5208333333333334,0.6161902956839448,0.1592099795562667,compressed,euro_2024,50.0,off,15.0,1.0349181298359842,modest,48,ordinal_logistic,0.2006463519758709
0.6785714285714286,0.4510395034565896,0.1151481290906985,compressed,copa_america_2024,50.0,off,15.0,0.7907257628229842,modest,28,ordinal_logistic,0.15673483521098516
0.5833333333333334,0.5753184994358047,0.0837824060194154,compressed,world_cup_2018,50.0,off,15.0,0.963643868291912,modest,60,multinomial_logistic,0.22117488651861214
0.576271186440678,0.5950261304360356,0.09212570603065329,compressed,world_cup_2022,50.0,off,15.0,1.0227438623497722,modest,59,multinomial_logistic,0.2279525835529113
0.5416666666666666,0.6141426119861785,0.14426032186125445,compressed,euro_2024,50.0,off,15.0,1.0357717282794663,modest,48,multinomial_logistic,0.20032959387974944
0.6785714285714286,0.4533351099707441,0.11755093305037147,compressed,copa_america_2024,50.0,off,15.0,0.794820008374187,modest,28,multinomial_logistic,0.15676152069891633
0.6,0.5756676767999362,0.09620594824395733,compressed,world_cup_2018,50.0,two_years_10pct,15.0,0.9637365946613473,modest,60,elo_simple,0.22105788161308668
0.576271186440678,0.5927005881383536,0.07669311280407919,compressed,world_cup_2022,50.0,two_years_10pct,15.0,1.009530503920312,modest,59,elo_simple,0.22438405753150145
0.5625,0.6041814557879529,0.11250647108983369,compressed,euro_2024,50.0,two_years_10pct,15.0,1.0176616436623682,modest,48,elo_simple,0.19656943695495177
0.7142857142857143,0.4792574950484117,0.155161840665253,compressed,copa_america_2024,50.0,two_years_10pct,15.0,0.8355582236023972,modest,28,elo_simple,0.1652133444172997
0.5833333333333334,0.5770778070047313,0.08513017828891607,compressed,world_cup_2018,50.0,two_years_10pct,15.0,0.9674242504852345,modest,60,ordinal_logistic,0.221682520240918
0.559322033898305,0.5934548597839924,0.07872078486286459,compressed,world_cup_2022,50.0,two_years_10pct,15.0,1.0063770614005676,modest,59,ordinal_logistic,0.22769164108063158
0.5208333333333334,0.6165849802004031,0.1594300263412686,compressed,euro_2024,50.0,two_years_10pct,15.0,1.0357004437864823,modest,48,ordinal_logistic,0.20076402963268417
0.6785714285714286,0.45181868119997215,0.11540503395387225,compressed,copa_america_2024,50.0,two_years_10pct,15.0,0.7916614878225419,modest,28,ordinal_logistic,0.15710093700573213
0.5833333333333334,0.5757878700726623,0.0832324637132474,compressed,world_cup_2018,50.0,two_years_10pct,15.0,0.9643417640235968,modest,60,multinomial_logistic,0.22138681106722327
0.576271186440678,0.5955385327799684,0.08877834770091521,compressed,world_cup_2022,50.0,two_years_10pct,15.0,1.0233031651193505,modest,59,multinomial_logistic,0.22817383908525088
0.5416666666666666,0.6145800207751262,0.15335860140950613,compressed,euro_2024,50.0,two_years_10pct,15.0,1.036642977781279,modest,48,multinomial_logistic,0.20046063890255014
0.6785714285714286,0.45399040594622,0.11774388655520307,compressed,copa_america_2024,50.0,two_years_10pct,15.0,0.7956371159016183,modest,28,multinomial_logistic,0.15707378642647393
