ablation_a,brier_score_delta,competition,fold,log_loss_delta,match_date,match_id,model_a,model_b,pair,ranked_probability_score_delta
contextual_logistic,-0.0815710210,FIFA World Cup,world_cup_2018,-0.1994679471,2018-06-25,international_results_csv-a4ad52584a6b0ca1e9ef,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0203392835
contextual_logistic,-0.0308897999,FIFA World Cup,world_cup_2018,-0.0513396895,2018-06-28,international_results_csv-a5522d7c007e5f722a3a,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0059680447
contextual_logistic,-0.0601851199,FIFA World Cup,world_cup_2018,-0.1182320387,2018-07-03,international_results_csv-a70c2997fd3870579b26,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0046642495
contextual_logistic,-0.0511186039,FIFA World Cup,world_cup_2018,-0.0904091024,2018-06-28,international_results_csv-a8e86526d67c35f1355f,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0111123715
contextual_logistic,0.0037605566,Copa América,copa_america_2024,-0.0036413520,2024-07-10,international_results_csv-a90e8651082210abd4ae,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0145143163
contextual_logistic,0.4106474613,FIFA World Cup,world_cup_2018,0.7253616541,2018-06-25,international_results_csv-aa701ce5d92317f620df,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0984096750
contextual_logistic,0.0541277870,FIFA World Cup,world_cup_2018,0.0761691951,2018-06-16,international_results_csv-ad7447caa6303f5f6c01,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0225519371
contextual_logistic,-0.0367236004,FIFA World Cup,world_cup_2022,-0.0607729694,2022-11-30,international_results_csv-aed43639a932a8d679d9,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0094130645
contextual_logistic,-0.0361675506,FIFA World Cup,world_cup_2018,-0.0723656148,2018-06-22,international_results_csv-b0081ac08a471b778e35,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0106807773
contextual_logistic,0.0250189463,Copa América,copa_america_2024,0.0506018026,2024-06-29,international_results_csv-b05d7666237e5f555fa9,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0029377612
contextual_logistic,0.0464897942,FIFA World Cup,world_cup_2018,0.0587392324,2018-06-19,international_results_csv-b19e93760c27e10672da,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0292396014
contextual_logistic,-0.0951010173,Copa América,copa_america_2024,-0.1526292650,2024-06-27,international_results_csv-b24f74e0627f4f161344,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0549548597
contextual_logistic,-0.0602979402,FIFA World Cup,world_cup_2022,-0.1337748576,2022-12-10,international_results_csv-b35074520e7ee28c8baf,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0035899224
contextual_logistic,0.1109622499,FIFA World Cup,world_cup_2018,0.1642381443,2018-06-16,international_results_csv-b3b504dc8f5a615011a8,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0631786960
contextual_logistic,-0.0207529005,FIFA World Cup,world_cup_2018,-0.0276233680,2018-06-23,international_results_csv-b6bd59352f17b1237c95,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0071633150
contextual_logistic,-0.0699774740,FIFA World Cup,world_cup_2022,-0.1022626171,2022-11-26,international_results_csv-b6d4165dd6f52d3da850,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0221672107
