canonical_team_id,source,source_name,valid_from,valid_to,notes
fiji,international_results_csv,Fiji,,,Exact observed source name from martj42/international_results.
finland,international_results_csv,Finland,,,Exact observed source name from martj42/international_results.
france,international_results_csv,France,,,Exact observed source name from martj42/international_results.
franconia,international_results_csv,Franconia,,,Exact observed source name from martj42/international_results.
french_guiana,international_results_csv,French Guiana,,,Exact observed source name from martj42/international_results.
froya,international_results_csv,Frøya,,,Exact observed source name from martj42/international_results.
gabon,international_results_csv,Gabon,,,Exact observed source name from martj42/international_results.
galicia,international_results_csv,Galicia,,,Exact observed source name from martj42/international_results.
gambia,international_results_csv,Gambia,,,Exact observed source name from martj42/international_results.
georgia,international_results_csv,Georgia,,,Exact observed source name from martj42/international_results.
german_dr,international_results_csv,German DR,,,Exact observed source name from martj42/international_results.
germany,international_results_csv,Germany,,,Exact observed source name from martj42/international_results.
ghana,international_results_csv,Ghana,,,Exact observed source name from martj42/international_results.
gibraltar,international_results_csv,Gibraltar,,,Exact observed source name from martj42/international_results.
gotland,international_results_csv,Gotland,,,Exact observed source name from martj42/international_results.
gozo,international_results_csv,Gozo,,,Exact observed source name from martj42/international_results.
greece,international_results_csv,Greece,,,Exact observed source name from martj42/international_results.
greenland,international_results_csv,Greenland,,,Exact observed source name from martj42/international_results.
grenada,international_results_csv,Grenada,,,Exact observed source name from martj42/international_results.
guadeloupe,international_results_csv,Guadeloupe,,,Exact observed source name from martj42/international_results.
guam,international_results_csv,Guam,,,Exact observed source name from martj42/international_results.
guatemala,international_results_csv,Guatemala,,,Exact observed source name from martj42/international_results.
guernsey,international_results_csv,Guernsey,,,Exact observed source name from martj42/international_results.
guinea,international_results_csv,Guinea,,,Exact observed source name from martj42/international_results.
guinea_bissau,international_results_csv,Guinea-Bissau,,,Exact observed source name from martj42/international_results.
guyana,international_results_csv,Guyana,,,Exact observed source name from martj42/international_results.
gagauzia,international_results_csv,Găgăuzia,,,Exact observed source name from martj42/international_results.
haiti,international_results_csv,Haiti,,,Exact observed source name from martj42/international_results.
hitra,international_results_csv,Hitra,,,Exact observed source name from martj42/international_results.
hmong,international_results_csv,Hmong,,,Exact observed source name from martj42/international_results.
honduras,international_results_csv,Honduras,,,Exact observed source name from martj42/international_results.
hong_kong,international_results_csv,Hong Kong,,,Exact observed source name from martj42/international_results.
hungary,international_results_csv,Hungary,,,Exact observed source name from martj42/international_results.
iceland,international_results_csv,Iceland,,,Exact observed source name from martj42/international_results.
india,international_results_csv,India,,,Exact observed source name from martj42/international_results.
indonesia,international_results_csv,Indonesia,,,Exact observed source name from martj42/international_results.
iran,international_results_csv,Iran,,,Exact observed source name from martj42/international_results.
iraq,international_results_csv,Iraq,,,Exact observed source name from martj42/international_results.
iraqi_kurdistan,international_results_csv,Iraqi Kurdistan,,,Exact observed source name from martj42/international_results.
isle_of_man,international_results_csv,Isle of Man,,,Exact observed source name from martj42/international_results.
isle_of_wight,international_results_csv,Isle of Wight,,,Exact observed source name from martj42/international_results.
israel,international_results_csv,Israel,,,Exact observed source name from martj42/international_results.
italy,international_results_csv,Italy,,,Exact observed source name from martj42/international_results.
ivory_coast,international_results_csv,Ivory Coast,,,Exact observed source name from martj42/international_results.
jamaica,international_results_csv,Jamaica,,,Exact observed source name from martj42/international_results.
japan,international_results_csv,Japan,,,Exact observed source name from martj42/international_results.
jersey,international_results_csv,Jersey,,,Exact observed source name from martj42/international_results.
jordan,international_results_csv,Jordan,,,Exact observed source name from martj42/international_results.
kabylia,international_results_csv,Kabylia,,,Exact observed source name from martj42/international_results.
kazakhstan,international_results_csv,Kazakhstan,,,Exact observed source name from martj42/international_results.
kenya,international_results_csv,Kenya,,,Exact observed source name from martj42/international_results.
kernow,international_results_csv,Kernow,,,Exact observed source name from martj42/international_results.
kiribati,international_results_csv,Kiribati,,,Exact observed source name from martj42/international_results.
kosovo,international_results_csv,Kosovo,,,Exact observed source name from martj42/international_results.
kurdistan,international_results_csv,Kurdistan,,,Exact observed source name from martj42/international_results.
kuwait,international_results_csv,Kuwait,,,Exact observed source name from martj42/international_results.
kyrgyzstan,international_results_csv,Kyrgyzstan,,,Exact observed source name from martj42/international_results.
karpatalja,international_results_csv,Kárpátalja,,,Exact observed source name from martj42/international_results.
laos,international_results_csv,Laos,,,Exact observed source name from martj42/international_results.
latvia,international_results_csv,Latvia,,,Exact observed source name from martj42/international_results.
lebanon,international_results_csv,Lebanon,,,Exact observed source name from martj42/international_results.
lesotho,international_results_csv,Lesotho,,,Exact observed source name from martj42/international_results.
liberia,international_results_csv,Liberia,,,Exact observed source name from martj42/international_results.
libya,international_results_csv,Libya,,,Exact observed source name from martj42/international_results.
liechtenstein,international_results_csv,Liechtenstein,,,Exact observed source name from martj42/international_results.
lithuania,international_results_csv,Lithuania,,,Exact observed source name from martj42/international_results.
luhansk_pr,international_results_csv,Luhansk PR,,,Exact observed source name from martj42/international_results.
luxembourg,international_results_csv,Luxembourg,,,Exact observed source name from martj42/international_results.
macau,international_results_csv,Macau,,,Exact observed source name from martj42/international_results.
madagascar,international_results_csv,Madagascar,,,Exact observed source name from martj42/international_results.
madrid,international_results_csv,Madrid,,,Exact observed source name from martj42/international_results.
malawi,international_results_csv,Malawi,,,Exact observed source name from martj42/international_results.
malaysia,international_results_csv,Malaysia,,,Exact observed source name from martj42/international_results.
maldives,international_results_csv,Maldives,,,Exact observed source name from martj42/international_results.
mali,international_results_csv,Mali,,,Exact observed source name from martj42/international_results.
malta,international_results_csv,Malta,,,Exact observed source name from martj42/international_results.
manchukuo,international_results_csv,Manchukuo,,,Exact observed source name from martj42/international_results.
mapuche,international_results_csv,Mapuche,,,Exact observed source name from martj42/international_results.
marshall_islands,international_results_csv,Marshall Islands,,,Exact observed source name from martj42/international_results.
